description,class,grouped_class
يتضمن توقيف مجلس إدارة الشركة العقارية الجزائرية.,البناء,البنية التحتية والتنمية العمرانية
يتضمن نقل الوصاية على المؤسسة الوطنية للدراسات وانجاز الهياكل الأساسية التجارية.,البناء,البنية التحتية والتنمية العمرانية
يتضمن توسيع المنطقة الصناعية لباتنة.,البناء,البنية التحتية والتنمية العمرانية
يتضمن نقل الوصاية على المكتب الوطني للدراسات الاقتصادية والتقنية.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إنشاء منطقة صناعية بالبويرة.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعيين وتحديد منطقة الإسكان الحضري المزمع إنشاؤها بورقلة.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
يتضمن المصادقة على المخطط الرئيسي للعمران الخاص بمدينة بني سليمان (ولاية المدية).,البناء,البنية التحتية والتنمية العمرانية
يتضمن تفويض الإمضاء إلى نائب مدير.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
يتضمن حل جمعية خاصة بالسكن.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث المؤسسة العمومية للبناء والأشغال العمومية للمدية وتحديد قانونها الأساسي.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث المؤسسة العمومية للبناء والأشغال العمومية للأصنام وتحديد قانونها الأساسي.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث المؤسسة العمومية للبناء والأشغال العمومية بباتنة وتحديد قانونها الأساسي.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث المؤسسة العمومية للبناء والأشغال العمومية لتيزي وزو وتحديد قانونها الأساسي.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث المؤسسة العمومية للبناء والأشغال العمومية لسطيف وتجديد قانونها الأساسي.,البناء,البنية التحتية والتنمية العمرانية
يتضمن حل مجلس الإدارة التابع للمكتب العمومي للسكن المعتدل الكراء لولاية وهران.,البناء,البنية التحتية والتنمية العمرانية
"يتضمن حل الشركة المغفلة ""السكن للجميع"".",البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث المؤسسة العمومية للبناء والأشغال العمومية بعنابة وتحديد قانونها الأساسي.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث المؤسسة العمومية للأشغال العمومية لعنابة وتحديد قانونها الأساسي.,البناء,البنية التحتية والتنمية العمرانية
يتضمن قائمة المترشحين الناجحيين في المسابقة المهنية للتعيين في سلك مهندسي التطبيق.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تحديد أسعار المواد الحجرية.,البناء,البنية التحتية والتنمية العمرانية
يتضمن التصريح بأن إنجاز أشغال الطريق الوطني رقم 4 يعد من المنفعة العمومية.,البناء,البنية التحتية والتنمية العمرانية
يتضمن التصريح بأن إعادة تعبيد قطعة من الطريق الوطني تعد من المنفعة العمومية.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعديل المرسوم رقم 68-359 المؤرخ في 3 ربيع الأول عام 1388 الموافق 30 مايو سنة 1968 والمتضمن القانون الأساسي الخاص لمهندسي الدولة المعماريين.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعديل المرسوم رقم 68-360 المؤرخ في 3 ربيع الأول عام 1388 الموافق 30 مايو سنة 1968 المتعلق بالقانون الأساسي الخاص لتقنيي الأشغال العمومية والري والبناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعديل المرسوم رقم 68-361 المؤرخ في 3 ربيع الأول عام 1388 الموافق 30 مايو سنة 1968 والمتعلق بالقانون الأساسي الخاص للأعوان التقنيين المتخصصين للأشغال العمومية والري والبناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن التصريح بأن أشغال بناء ميناء لشحن الغاز الطبيعي ببطيوة من المنفعة العمومية.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إلحاق اللجنة الدائمة لدراسة وتنمية وتنظيم وتهيئة ناحية مدنية الجزائر (كوميدور) بوزارة السكن والبناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن التنازل عن 283 مسكنا بولاية الأصنام إلى بلدية الأصنام.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تحديد الشروط التي يمكن للأفراد أن يبرموا ضمنها مع مصالح وزارة الأشغال العمومية والبناء عقودا أو صفقات تتعلق بالدراسات.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تطبيق القانون رقم 63-275 المؤرخ في 26 يوليو سنة 1963 المتضمن إحداث المكتب الوطني لصيد الأسماك.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعيين المدير التقني للشركة الوطنية لأشغال المنشآت الأساسية والبناء (سوناتيبا).,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة في سلك موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة في سلك موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة في سلك موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة في سلك موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة في سلك موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تأسيس اللجنة الإستشارية المكلفة بتسوية النزاعات المتعلقة بالصفقات المبرمة من طرف وزارة الأشغال العمومية والبناء بطريق التراضي.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث الخدمة المدنية لمهنة المهندس المعماري.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تحديد الشروط الخاصة بتشييد البناءات على طول بعض الطرق تطبيقا للمادة 91 من قانون التعمير والإسكان.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث مركز مهني لتكوين الأعوان التقنيين المتخصصين في الأشغال العمومية والري والبناء بباتنة.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث مركز مهني لتكوين الأعوان التقنيين المتخصصين في الأشغال العمومية والري والبناء بورقلة.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث مركز مهني لتكوين الأعوان التقنيين في الأشغال العمومية والري والبناء بعنابة.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تفويض الإمضاء إلى مدير الشؤون التقنية العامة.,البناء,البنية التحتية والتنمية العمرانية
"يتضمن تتميم المرسوم رقم 68-642 المؤرخ في 27 رمضان عام 1388 الموافق 17 ديسمبر سنة 1968 والمتضمن تعيين الهيئة العمومية المكلفة بتجزئة المنطقة السكنية المسماة ""الحي الدبلوماسي"" بمدينة الجزائر.",البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث لجنة مكلفة بتتميم بناء المساكن.,البناء,البنية التحتية والتنمية العمرانية
يرمي إلى تحسين البنايات المهملة وجعلها صالحة للسكن.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إنشاء مركز للتكوين المهني للأعوان التقنيين المتخصصين في الأشغال العمومية والري والبناء بوهران.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إنشاء مركز للتكوين المهني للأعوان التقنيين المتخصصين في الأشغال العمومية والبناء ببشار.,البناء,البنية التحتية والتنمية العمرانية
يتضمن حل بعض شركات الإسكان ونقل مجموع أموالها وحقوقها وإلتزاماتها إلى مكاتب السكن المعتدل الكراء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تفويض الإمضاء إلى نائب مدير.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إنهاء مهام المدير الإداري للشركة الوطنية لأشغال التجهيز الأساسي والبناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إنهاء مهام نائب مدير.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إنشاء أقسام فرعية إختصاصية للمساعدة التقنية للبلديات في المصالح الإقليمية التابعة لوزارة الأشغال العمومية والبناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تأليف لجنة الترسيم الخاصة بالأعوان الإداريين.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعيين مدير مركز تكوين التقنيين في الأشغال العمومية والبناء بتلمسان.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعيين الهيئة العمومية المكلفة بتجزئة المنطقة الصناعية لسكيكدة.,البناء,البنية التحتية والتنمية العمرانية
"يتضمن إيقاف مجلس إدارة الشركة التعاونية للسكن المدعوة ""السكن التعاوني"" وتعيين متصرف مؤقت.",البناء,البنية التحتية والتنمية العمرانية
يتضمن المصادقة على المخطط الرئيسي لتعمير مدينة آفلو.,البناء,البنية التحتية والتنمية العمرانية
يتضمن الترخيص والتصريح بأنه من المنفعة العمومية إنجاز أشغال التوسيع والتهيئة لميناء أرزيو.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعيين مدير الديوان وكذا رئيس الديوان وملحقين لديوان الوزير.,البناء,البنية التحتية والتنمية العمرانية
يتعلق بالتنظيم المفصل لمصالح الإدارة المركزية لوزارة الأشغال العمومية والبناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن التصريح بأنه من المنفعة العمومية إمتلاك الأراضي وتنفيذ الأشغال الضرورية لتسيير مصفاة تكرير البترول بالجزائر وعلاقتها بميناء الجزائر ومختلف المخازن.,البناء,البنية التحتية والتنمية العمرانية
يتضمن نزع ملكية الأراضي الضرورية لإنشاء منطقة صناعية على تراب بلدية أرزيو.,البناء,البنية التحتية والتنمية العمرانية
تتضمن تعيين رؤساء مكاتب.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تنظيم البحث عن المياه الجوفية وإستغلالها في سهل مغنية.,البناء,البنية التحتية والتنمية العمرانية
"يتضمن إلغاء مجلس إدارة شركة الإسكان المدعوة بـ ""التعاونية التعاضدية"" وإسناد مهمة تتميم العمليات الموقفة إلى المكتب العمومي العمالي المكلف بالمساكن المعتدلة الكراء لمدينة الجزائر،",البناء,البنية التحتية والتنمية العمرانية
"يتضمن إلغاء مجلس إدارة شركة الإسكان المدعوة بـ ""النادي الشعبي"" وإسناد مهمة تتميم العمليات الموقفة إلى المكتب العمومي العمالي المكلف بالمساكن المعتدلة الكراء بقسنطينة،",البناء,البنية التحتية والتنمية العمرانية
يتعلق بألواح الترقيم للسيارات.,البناء,البنية التحتية والتنمية العمرانية
يتعلق بالنقل البري للبضائع وكذا المسافرين.,البناء,البنية التحتية والتنمية العمرانية
يتعلق بالنقل البري للمسافرين والبضائع - مراقبة الرابطة.,البناء,البنية التحتية والتنمية العمرانية
يتعلق بترقيم السيارات.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تصريح بالمنفعة العمومية لأشغال التهيئة الحضرية المتعلقة بإجتناب قسنطينة من جهتها الجنوبية.,البناء,البنية التحتية والتنمية العمرانية
من رئيس المكتب المعالي للسكن المعتدل الكراء لمدينة الجزائر يتضمن فسخ الصفقات التي تعهدت بها شركة البناء (سوباين) المتعلقة ببناء عمارة ذات 70 مسكنا وبمركز تجاري ببراقي.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين،,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين،,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين،,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين،,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين،,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين،,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين،,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين،,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين،,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين،,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين،,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين,البناء,البنية التحتية والتنمية العمرانية
يتضمنان الترخيص لمهندسين معماريين حمل هذا الإسم وممارسة مهامهما،,البناء,البنية التحتية والتنمية العمرانية
يتضمنان الترخيص لمهندسين معماريين حمل هذا الإسم وممارسة مهامهما,البناء,البنية التحتية والتنمية العمرانية
يتضمن تخصيص منح التلاميذ المهندسين الجزائريين غير المتمتعين بمنح التعاون التقني بالمدارس الكبرى الأجنبية.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تتميم المرسوم رقم 66-49 المؤرخ في 5 ذي القعدة عام 1385 الموافق 25 فبراير سنة 1966 والمتضمن إحداث مدرسة مهندسي الأشغال العمومية في مدينة الجزائر - حسين داي.,البناء,البنية التحتية والتنمية العمرانية
"يتضمن إيقاف مجلس إدارة الشركة التعاونية للسكن المعتدل الكراء ""حي الموظفين"" وتعيين متصرف مؤقت.",البناء,البنية التحتية والتنمية العمرانية
يتضمن إيقاف مجالس إدارة شركات تعاونية.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تطبيق المرسوم رقم 66-136 المؤرخ في 12 صفر عام 1386 الموافق 2 يونيو سنة 1966 والمتضمن تحديد القواعد المطبقة على الموظفين المتعاقدين والمؤقتين التابعين للدولة والجماعات المحلية والمؤسسات والهيئات العمومية والبناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعديل المرسوم رقم 67-121 المؤرخ في 29 ربيع الأول عام 1387 الموافق 7 يوليو سنة 1967 والمتعلق بتنظيم المصالح البحرية ومصالح الإرشادات البحرية التابعة لوزارة الأشغال العمومية والبناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن التمديد لفترة جديدة قدرها 5 سنوات للأجل الذي يجب أن يحقق خلاله إكتساب الأراضي اللازمة للأشغال الضرورية لتهيئة المدخل الغربي للطريق الوطني رقم 12 المؤدي إلى مدينة تيزي وزو.,البناء,البنية التحتية والتنمية العمرانية
يتضمن الترخيص لمهندسين معماريين حمل هذا الاسم وممارسة مهنهم.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
"يتضمن وقف مجلس إدارة عن ممارسة مهامه وتعيين متصرف مؤقت للشركة المغفلة التعاونية للسكن المعتدل الكراء ""مافال"".",البناء,البنية التحتية والتنمية العمرانية
يتضمن تحديد الشروط التقنية لإستغلال طائرات النقل العمومي.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعيين مساعدين تقنيين للجسور والطرقات وكذا ملازم أول للميناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعيين مساعدين تقنيين للموانئ والطرقات وكذا ملازم أول للميناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعيين مساعدين تقنيين للجسور والطرقات وكذا ملازم أول للميناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعيين مساعدين تقنيين للجسور والطرقات وكذا ملازم أول للميناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعيين مساعدين تقنيين للجسور والطرقات وكذا ملازم أول للميناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعيين مساعدين تقنيين للجسور والطرقات وكذا ملازم أول للميناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعيين مساعدين تقنيين للجسور والطرقات وكذا ملازم أول للميناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعيين مساعدين تقنيين للجسور والطرقات وكذا ملازم أول للميناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعيين مساعدين تقنيين للجسور والطرقات وكذا ملازم أول للميناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث مكتب عمومي عمالي للسكن المعتدل الكراء بسعيدة.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعديل المادة 5 من القرار رقم 3641 أع/أط، 6 المؤرخ في 19 غشت سنة 1961 والمتضمن ضبط النصوص المتعلقة بإمتلاك ومراقبة الدعم في ميدان التهيئة العمرانية المعدل بالقرار المؤرخ في 12 يونيو سنة 1962.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إلحاق متصرف مدني بالشركة الوطنية للمنشآت الأساسية والبناء. (سوناتيبا),البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث حظيرة مركزية للمعدات بوزارة الأشغال العمومية والبناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن فتح مسابقة للدخول إلى مركز التكوين المهني لتقني الأشغال العمومية والري والبناء في عنابة.,البناء,البنية التحتية والتنمية العمرانية
يتضمن فتح مسابقة للدخول إلى مراكز تكوين الأعوان التقنيين الإختصاصيين للأشغال العمومية والري والبناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث لجنة لفتح الظروف الخاصة بصفقات المناقصات.,البناء,البنية التحتية والتنمية العمرانية
يتضمن فتح مسابقة وإمتحان مهني للتعيين في وظيفة تقنيي الأشغال العمومية والري والبناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تفويض الإمضاء إلى نائب مدير.,البناء,البنية التحتية والتنمية العمرانية
يتعلق بجزائرية البواخر.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تحويل ملكية الأملاك العائدة للمكتب العمومي للسكن المعتدل الكراء لوهران والموجودة في إقليم عمالة تيارت إلى المكتب العمومي للسكن المعتدل الكراء لتيارت.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تحويل ملكية الأملاك العائدة للمكتب العمومي للسكن المعتدل الكراء لوهران والموجودة في إقليم عمالة تلمسان إلى المكتب العمومي للسكن المعتدل الكراء لتلمسان.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تحويل ملكية الأملاك العائدة للمكتب العمومي للسكن المعتدل الكراء لوهران الموجودة في إقليم عمالة مستغانم إلى المكتب العمومي للسكن المعتدل الكراء لمستغانم.,البناء,البنية التحتية والتنمية العمرانية
يتضمن توقيف مجلس إدارة الشركة التعاونية للسكن الجزائري بالقليعة وتعيين متصرف مؤقت.,البناء,البنية التحتية والتنمية العمرانية
يتعلق بمصالح الدراسات الخاصة بالمصالح الخارجية لوزارة الأشغال العمومية والبناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن نقل متصرف مدني.,البناء,البنية التحتية والتنمية العمرانية
"يتضمن توقيف مجلس إدارة الشركة التعاونية للسكن المعتدل الكراء ""المسكن الزناتي"" وتعيين متصرف مؤقت.",البناء,البنية التحتية والتنمية العمرانية
يتضمن منح الترخيص لمهندس معماري حمل هذا الإسم ومزاولة مهنته في الجزائر.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث سلك لمهندسي الدولة التابعين للأشغال العمومية والبناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن إحداث سلك لمهندسي التطبيق التابعين للأشغال العمومية والبناء.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعيين بصفة مهندس في الأشغال العمومية.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين. (استدراك),البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
تتضمن حركة موظفين.,البناء,البنية التحتية والتنمية العمرانية
يتضمن تعيين أعضاء اللجنة الوطنية لإعادة هيكلة المؤسسات.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتعلق بشروط توظيف الأساتذة العاملين في معهد تقنيات التخطيط والاقتصاد المطبق ودفع مرتباتهم.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تحديد الأحكام الأساسية المشتركة لأسلاك التقنيين في الإعلام الآلي.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تحديد أحكام القوانين الأساسية المشتركة المطبقة على أسلاك التقنيين المساعدين في الإعلام الآلي.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تحديد أحكام القوانين الأساسية المشتركة المطبقة على أسلاك الأعوان التقنيين لجمع المعلومات الخاصة بالإعلام الآلي.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتمم القرار المؤرخ في 28 سبتمبر سنة 1980 والمتضمن إعلان النتائج النهائية لنهاية الدروس للتلاميذ المتمرنين في معهد تقنيات التخطيط والاقتصاد المطبق.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن نتائج المسابقات التي جرت على أساس الشهادات لتوظيف مهندسي دولة إحصائيين وإقتصاديين ومهندسي تطبيق الإحصائيات ومحللين في الإقتصاد.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تمديد مهمة أعضاء اللجان المتساوية الأعضاء لبعض أسلاك موظفي وزارة التخطيط والتهيئة العمرانية.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تعيين ممثلي الإدارة في اللجان المتساوية الأعضاء لبعض أسلاك موظفي وزارة التخطيط والتهيئة العمرانية.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتعلق بتطبيق النصوص الخاصة بالتخطيط والتهيئة العمرانية وبممارسة الصلاحيات والمهام وتسيير الهياكل والوسائل والموظفين.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تعيين المدير العام لتخطيط الأعمال الإنتاجية.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتعلق بتنظيم إحصاء السكان والمساكن وتنفيذه في البلديات المعلنة منكوبة إثر الزلزال الذي حدث في منطقة الأصنام.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تنظيم وفتح مسابقة للدخول إلى معهد تقنيات التخطيط والاقتصاد المطبق لتكوين مهندسي تطبيق الإحصائيات والمحللين الاقتصاديين.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن إنشاء المعهد الوطني للدراسات والتحاليل الخاصة بالتخطيط.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تشكيل اللجان المتساوية الأعضاء لبعض أسلاك موظفي وزارة التخطيط والتهيئة العمرانية.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تعيين أعضاء مجلس إدارة المركز الوطني للإعلام والوثائق الاقتصادية.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تجديد اللجنة المتساوية الأعضاء المختصة بأسلاك أعوان المكتب بوزارة التخطيط والتهيئة العمرانية.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تفويض الإمضاء إلى المدير العام لتخطيط الموارد البشرية.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تفويض الإمضاء إلى المدير العام لتخطيط الأعمال الإنتاجية.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تفويض الإمضاء إلى المدير العام للإحصائيات.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تفويض الإمضاء إلى المدير العام للتلخيص والتنسيق الاقتصادي.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تفويض الإمضاء إلى مدير الإدارة العامة.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تفويض الإمضاء إلى مدير الإحصائيات السكانية والاجتماعية.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تفويض الإمضاء إلى مدير تخطيط التربية والتكوين.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تفويض الإمضاء إلى مدير التوازن الاجتماعي.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تفويض الإمضاء إلى مدير تخطيط الأعمال المحلية.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تفويض الإمضاء إلى مدير تخطيط الخدمات.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن تفويض الإمضاء إلى مدير الحسابات والإحصائيات الاقتصادية.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
يتضمن وضع فهرس النشاط الاقتصادي والمنتجات.,التهيئة العمرانية,البنية التحتية والتنمية العمرانية
